n,fold_seed,primary_intercept,nominal_intercept,effective_intercept,clamp_flag,secondary_log,secondary_avoid_log,secondary_avoid_log_failed,shot_clamp_flag,shot_secondary_log,shot_secondary_avoid_log,shot_secondary_avoid_log_failed
12,1006,0.47168617831670095,0.47168617831670095,0.4889420538479953,0,0.5792534272262714,0.5788225216183334,0,0,0.5601664653357517,0.5536662880324918,0
12,1007,0.46792845649149034,0.46792845649149034,0.4846393644125589,0,0.5663155587736294,0.5651536975184654,0,0,0.5898538490072872,0.592997337292604,0
13,1000,0.31153378619481853,0.3118011427730672,0.3233303773981071,0,0.3921527831898353,0.38791149224024624,0,0,0.36696978259008134,0.3641681903349364,0
13,1001,0.31026609469173333,0.3106497534130148,0.322211474319949,0,0.3957322336486152,0.39600925544145005,0,0,0.33869250919981936,0.3422616115153471,0
13,1002,0.3042941802164848,0.3046572601446481,0.315499090371553,0,0.3760172026877259,0.3767033283907602,0,0,0.37204985061264956,0.3799212897455424,0
13,1003,0.31047706564697275,0.31089443491477997,0.32253223703875195,0,0.3987205778198453,0.4003429942501881,0,0,0.40693128848993415,0.412306129117326,0
13,1004,0.3095648598805312,0.30990597941553305,0.32132155675129015,0,0.39070669361985183,0.389526791178636,0,0,0.3872461560111973,0.38569327283506116,0
13,1005,0.3033845125235234,0.30368882419812565,0.3143355666965634,0,0.37011832490021945,0.36903951155159903,0,0,0.37295996862662256,0.3745565496956136,0
13,1006,0.3055927739497203,0.305918701642527,0.3168531496970835,0,0.37770335414617845,0.37687604802736574,0,0,0.36045946759849307,0.3615527264728116,0
13,1007,0.30839294538846085,0.3087576950556901,0.32007449039130415,0,0.3885450074318641,0.3885012576289083,0,0,0.3622629720013569,0.36243690535965084,0
14,1000,0.1367974099827497,0.1367974099827497,0.14224623635952588,0,0.17950193907270903,0.17760666987344803,0,0,0.16830221127780073,0.16725122842314244,0
14,1001,0.13595965440878205,0.13595965440878205,0.14130514303556146,0,0.17639731494518854,0.17468254335894415,0,0,0.18784034070481756,0.18681148372863146,0
14,1002,0.13533737065507123,0.13533737065507123,0.14057937151223157,0,0.17343953214587468,0.1714600151587387,0,0,0.15330262922151855,0.15109489321440683,0
14,1003,0.13701820715125165,0.13701820715125165,0.14268881386915216,0,0.18658756349729394,0.1884103773754862,0,0,0.14610235278599137,0.15058355795784734,0
14,1004,0.13624876964608734,0.13624876964608734,0.14166438712991317,0,0.17845600428210603,0.17723296030457295,0,0,0.1648265557622984,0.16800827017363718,0
14,1005,0.1323260978876234,0.1323260978876234,0.13734133589106667,0,0.1667975629997127,0.1673868276485081,0,0,0.17724551796242993,0.18912642197071294,0
14,1006,0.1314216541912048,0.1314216541912048,0.13646250552165948,0,0.16713005128881686,0.17010315142612117,0,0,0.14645973378296348,0.1483221089685644,0
14,1007,0.13269264791972582,0.13269264791972582,0.13762707780017652,0,0.16502527019324592,0.16376790450395431,0,0,0.13141641217204533,0.13075243707291706,0
15,1000,-0.03776332204538426,-0.037859840350733476,-0.039468603259574325,0,-0.057619789673701946,-0.06310118069641935,0,0,-0.05582979164345448,-0.055490434931280044,0
15,1001,-0.03919275362430934,-0.039249022787334456,-0.04094515085138479,0,-0.05896282777077534,-0.05925253092501206,0,0,-0.05963739355103735,-0.06000231540709829,0
15,1002,-0.03987578120566529,-0.039943500033550974,-0.04174006085306262,0,-0.06465926796263811,-0.06578874843753586,0,0,-0.2926110809506584,-0.36466792932896414,0
15,1003,-0.03518178659941466,-0.03527704545237471,-0.03658658230528808,0,-0.046407868748485036,-0.05035971734673194,0,0,-0.04624185547034506,-0.05527538603030998,0
15,1004,-0.03868838279959893,-0.03873100696560275,-0.0403430445613517,0,-0.054781139573863366,-0.05430438110242217,0,0,-0.05091152632117626,-0.046136907023495696,0
15,1005,-0.03966452836463276,-0.03978512520842421,-0.041658539199644545,0,-0.0753772053735168,-0.08948811868253187,0,0,-0.05549962386493485,-0.07416212930408747,0
15,1006,-0.03992341437023325,-0.03995402269122937,-0.041685077138125866,0,-0.05878864685711585,-0.05684091428863115,0,0,-0.055757980959094594,-0.05356402813925528,0
15,1007,-0.0404611390873741,-0.04052711163406192,-0.042387634912372636,0,-0.0679952455654248,-0.06852663884543693,0,0,-0.12424152240041308,-0.11458628427353602,0
16,1000,-0.1853017982103991,-0.1853017982103991,-0.19322273750613234,0,-0.2624169136426708,-0.2635941600727538,0,0,-0.3186981275037832,-0.3059769604752743,0
16,1001,-0.1828126238364676,-0.1828126238364676,-0.19050549176400464,0,-0.254120885517528,-0.25752527374583306,0,0,-0.22019851961913375,-0.22632503597975184,0
16,1002,-0.182638016709831,-0.182638016709831,-0.19021858551484735,0,-0.25006901413479504,-0.25129544174051927,0,0,-0.1837181245174149,-0.18725786077799694,0
16,1003,-0.18133387570048176,-0.18133387570048176,-0.18873582793032992,0,-0.24403453471383135,-0.24500693020433031,0,0,-0.27981843830823955,-0.2795845239267739,0
