n,fold_seed,lambda_nominal,lambda_r,lambda_eff,expectation_dm,cx,sx,x,rz,sxdg
12,1003,1.5,1.5,1.445653668064066,0.25144167880007995,180,144,3,348,0
12,1003,2.0,2.0,1.8913073361281318,0.19135950122788944,240,144,3,348,0
12,1004,1.0,1.0,1.0,0.3331727785244386,120,144,3,348,0
12,1004,1.5,1.5,1.445653668064066,0.25869914218403856,180,144,3,348,0
12,1004,2.0,2.0,1.8913073361281318,0.19558960215041316,240,144,3,348,0
12,1005,1.0,1.0,1.0,0.3331727785244386,120,144,3,348,0
12,1005,1.5,1.5,1.445653668064066,0.2566904478631485,180,144,3,348,0
12,1005,2.0,2.0,1.8913073361281318,0.19565517268130567,240,144,3,348,0
12,1006,1.0,1.0,1.0,0.3331727785244386,120,144,3,348,0
12,1006,1.5,1.5,1.445653668064066,0.25345407388994046,180,144,3,348,0
12,1006,2.0,2.0,1.8913073361281318,0.1916702345212142,240,144,3,348,0
12,1007,1.0,1.0,1.0,0.3331727785244386,120,144,3,348,0
12,1007,1.5,1.5,1.445653668064066,0.2578219612761359,180,144,3,348,0
12,1007,2.0,2.0,1.8913073361281318,0.1961391067674506,240,144,3,348,0
13,1000,1.0,1.0,1.0,0.21506307226109894,130,156,3,377,0
13,1000,1.5,1.4923076923076923,1.4388723435069037,0.16612816069498176,194,156,3,377,0
13,1000,2.0,2.0,1.8914594477483981,0.11816332280337832,260,156,3,377,0
13,1001,1.0,1.0,1.0,0.21506307226109894,130,156,3,377,0
13,1001,1.5,1.4923076923076923,1.4388723435069037,0.15813285826878762,194,156,3,377,0
13,1001,2.0,2.0,1.8914594477483981,0.11686585584736785,260,156,3,377,0
13,1002,1.0,1.0,1.0,0.21506307226109894,130,156,3,377,0
13,1002,1.5,1.4923076923076923,1.4388723435069037,0.16145255480029708,194,156,3,377,0
13,1002,2.0,2.0,1.8914594477483981,0.12295076337211336,260,156,3,377,0
13,1003,1.0,1.0,1.0,0.21506307226109894,130,156,3,377,0
13,1003,1.5,1.4923076923076923,1.4388723435069037,0.1556375644298082,194,156,3,377,0
13,1003,2.0,2.0,1.8914594477483981,0.11594318774900353,260,156,3,377,0
13,1004,1.0,1.0,1.0,0.21506307226109894,130,156,3,377,0
13,1004,1.5,1.4923076923076923,1.4388723435069037,0.16141539968950586,194,156,3,377,0
