n,fold_seed,lambda_nominal,expectation_shot,seed_simulator
12,1004,1.0,0.330810546875,10240
12,1004,1.5,0.2564697265625,10241
12,1004,2.0,0.19099934895833334,10242
12,1005,1.0,0.3337809244791667,10250
12,1005,1.5,0.2505289713541667,10251
12,1005,2.0,0.19547526041666666,10252
12,1006,1.0,0.3221435546875,10260
12,1006,1.5,0.2567138671875,10261
12,1006,2.0,0.18587239583333334,10262
12,1007,1.0,0.3382568359375,10270
12,1007,1.5,0.250732421875,10271
12,1007,2.0,0.1937255859375,10272
13,1000,1.0,0.20857747395833334,10300
13,1000,1.5,0.16227213541666666,10301
13,1000,2.0,0.1187744140625,10302
13,1001,1.0,0.20829264322916666,10310
13,1001,1.5,0.15576171875,10311
13,1001,2.0,0.1275634765625,10312
13,1002,1.0,0.2198486328125,10320
13,1002,1.5,0.1551513671875,10321
13,1002,2.0,0.129150390625,10322
13,1003,1.0,0.21756998697916666,10330
13,1003,1.5,0.15193684895833334,10331
13,1003,2.0,0.11617024739583333,10332
13,1004,1.0,0.2156982421875,10340
13,1004,1.5,0.16353352864583334,10341
13,1004,2.0,0.1202392578125,10342
13,1005,1.0,0.21919759114583334,10350
13,1005,1.5,0.1650390625,10351
13,1005,2.0,0.128662109375,10352
13,1006,1.0,0.21553548177083334,10360
13,1006,1.5,0.16446940104166666,10361
13,1006,2.0,0.12874348958333334,10362
13,1007,1.0,0.21040852864583334,10370
13,1007,1.5,0.1600341796875,10371
13,1007,2.0,0.1221923828125,10372
14,1000,1.0,0.09407552083333333,10400
14,1000,1.5,0.07210286458333333,10401
14,1000,2.0,0.052652994791666664,10402
14,1001,1.0,0.09444173177083333,10410
14,1001,1.5,0.06819661458333333,10411
14,1001,2.0,0.0474853515625,10412
14,1002,1.0,0.08870442708333333,10420
14,1002,1.5,0.07185872395833333,10421
14,1002,2.0,0.051554361979166664,10422
14,1003,1.0,0.0885009765625,10430
14,1003,1.5,0.060709635416666664,10431
14,1003,2.0,0.0531005859375,10432
14,1004,1.0,0.09468587239583333,10440
14,1004,1.5,0.06660970052083333,10441
14,1004,2.0,0.054158528645833336,10442
14,1005,1.0,0.09639485677083333,10450
14,1005,1.5,0.0574951171875,10451
14,1005,2.0,0.052083333333333336,10452
14,1006,1.0,0.09122721354166667,10460
14,1006,1.5,0.06791178385416667,10461
14,1006,2.0,0.0565185546875,10462
14,1007,1.0,0.08426920572916667,10470
14,1007,1.5,0.06929524739583333,10471
14,1007,2.0,0.05419921875,10472
15,1000,1.0,-0.027547200520833332,10500
15,1000,1.5,-0.019734700520833332,10501
15,1000,2.0,-0.013590494791666666,10502
15,1001,1.0,-0.028076171875,10510
15,1001,1.5,-0.0189208984375,10511
15,1001,2.0,-0.013224283854166666,10512
15,1002,1.0,-0.035359700520833336,10520
15,1002,1.5,-0.010050455729166666,10521
15,1002,2.0,-0.004842122395833333,10522
15,1003,1.0,-0.023763020833333332,10530
15,1003,1.5,-0.0106201171875,10531
15,1003,2.0,-0.012166341145833334,10532
15,1004,1.0,-0.022664388020833332,10540
15,1004,1.5,-0.021769205729166668,10541
15,1004,2.0,-0.009765625,10542
15,1005,1.0,-0.029012044270833332,10550
15,1005,1.5,-0.010213216145833334,10551
15,1005,2.0,-0.015055338541666666,10552
15,1006,1.0,-0.026896158854166668,10560
15,1006,1.5,-0.021402994791666668,10561
15,1006,2.0,-0.012939453125,10562
15,1007,1.0,-0.024658203125,10570
15,1007,1.5,-0.016031901041666668,10571
15,1007,2.0,-0.0015462239583333333,10572
16,1000,1.0,-0.12373860677083333,10600
16,1000,1.5,-0.08540852864583333,10601
16,1000,2.0,-0.04736328125,10602
16,1001,1.0,-0.11714680989583333,10610
16,1001,1.5,-0.077880859375,10611
16,1001,2.0,-0.062174479166666664,10612
16,1002,1.0,-0.11446126302083333,10620
16,1002,1.5,-0.08284505208333333,10621
16,1002,2.0,-0.07076009114583333,10622
16,1003,1.0,-0.1280517578125,10630
16,1003,1.5,-0.08683268229166667,10631
